"","mean","se_mean","sd","0.5%","2.5%","25%","50%","75%","97.5%","99.5%","n_eff","Rhat"
"log_lambda[93]",5.73359774083817,0.000154508812740126,0.0313277944039283,5.65292981417392,5.67190640339804,5.71228770641305,5.73394313534751,5.75495340227922,5.79388700936435,5.81331421080133,41110.5350557806,0.999996052527372
"log_lambda[94]",3.72941285843166,0.000159457783221922,0.0321858966633132,3.64547749875923,3.66653832083127,3.7076617979359,3.72968184301177,3.75135576777481,3.79183276377713,3.81161640502545,40741.7594907852,1.00000056222386
"log_lambda[95]",2.34161684599166,0.000176861919143082,0.0356878064244155,2.24751542894388,2.27156568608068,2.31746623959463,2.3416270999416,2.36578957162273,2.41109716875577,2.43302629057861,40716.556600555,0.999983521860099
"log_lambda[96]",0.337431963585154,0.000181849355533733,0.0364318247286536,0.242831687486335,0.26626857066788,0.312835249472308,0.33755158402149,0.362051742580483,0.408347014569649,0.432353247481732,40136.3906704706,0.999993679427547
"log_lambda[97]",1.74603618540666,0.000620374453133661,0.144076486972167,1.35209362846472,1.455574113589,1.65053486985966,1.74929321595483,1.84479121974791,2.01843005138798,2.0976705500171,53935.9596490866,1.00003270253146
"log_lambda[98]",-0.258148696999852,0.00062061377433604,0.144168924780204,-0.651605601454474,-0.548232220902749,-0.354522096041022,-0.254460585339663,-0.159473716306807,0.0150516534229152,0.0953993948558674,53963.5482735036,1.00003663116953
"log_lambda[99]",-0.787172974296268,0.000628921482869681,0.145119037744461,-1.18167321755389,-1.08002585206535,-0.88363227771444,-0.783668996375615,-0.687060717468478,-0.512828297385415,-0.436268718951204,53242.1911811853,1.00002472972373
"log_lambda[100]",-2.79135785670278,0.000629038361351111,0.145206263685526,-3.18638898259931,-3.08330371506135,-2.88799560668473,-2.78816490616586,-2.69127984603435,-2.51611502103647,-2.43836791494921,53286.4071437706,1.00002893392161
"log_lambda[101]",2.68916234530422,0.000619632823718587,0.144075018508759,2.29594748827927,2.39849012351594,2.59353804334691,2.69259854662267,2.78803758643222,2.96286089463925,3.04214102746476,54064.0451429151,1.00003563326656
"log_lambda[102]",0.684977462897711,0.000619930038778154,0.144168669181881,0.291904762477278,0.394772252590139,0.588897450786777,0.688373843887223,0.783922799555741,0.958816914858574,1.03722910475554,54082.4575070905,1.00003972734297
"log_lambda[103]",-0.70281854954229,0.000622464197202439,0.144917786416526,-1.09634033966292,-0.996016735967036,-0.798841807287667,-0.699954033587842,-0.60304122260809,-0.42844320404645,-0.350847010162403,54201.914866453,1.00004497871151
